Date,Expéditeur,Statut,Bordereau,Type,Nom,Prénom,Adresse,"Code Postal",Ville
"2022-12-08 14:29:40","tmp_toto company","en attente",10498,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-12-08 12:57:47","tmp_toto company","en attente",14056,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2022-12-08 12:29:56","tmp_toto company","en attente",14107,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-12-08 12:20:46","tmp_toto company","en attente",14108,"Lettre avec accusé de reception",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-12-08 11:50:14","tmp_toto company","en attente",14036,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2022-12-08 11:32:53","tmp_toto company","en attente",14005,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-12-08 11:26:01","tmp_toto company","en attente",14045,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-12-08 10:02:10","tmp_toto company","en attente",14026,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2022-12-08 08:22:15","tmp_toto company","en attente",14106,"Lettre avec accusé de reception",mairie,"service presse","2 place royale",64000,pau
"2022-12-07 15:26:05","tmp_toto company","en attente",14105,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-12-07 11:29:10","tmp_toto company","en attente",14104,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-12-06 16:53:56","tmp_toto company","en attente",14098,Colis,mairie,"service presse","2 place royale",64000,pau
"2022-12-06 11:37:15","tmp_toto company","en attente",14100,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-12-06 10:58:09","tmp_toto company","en attente",14102,"Lettre avec accusé de reception",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-12-06 10:55:11","tmp_toto company","en attente",14103,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2022-12-06 10:43:37","tmp_toto company","en attente",14101,"Lettre avec accusé de reception",dupontel,albert,"296 bvd olga ducresne",64470,"serres castet"
"2022-12-06 10:29:59","tmp_toto company","en attente",14095,Colis,dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-12-06 10:24:59","tmp_toto company","en attente",14097,"Lettre avec accusé de reception",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-12-01 09:08:50","tmp_toto company","en attente",14093,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
